Club,Average_Wage,Total_Players
BK Häcken,1.555555556,27
Strømsgodset IF,1.541666667,24
SpVgg Unterhaching,1.538461538,26
Vålerenga Fotball,1.538461538,26
Incheon United FC,1.535714286,28
Arka Gdynia,1.518518519,27
Audax Italiano,1.5,28
CD Antofagasta,1.5,28
Daegu FC,1.5,28
Newcastle Jets,1.5,24
San Luis de Quillota,1.5,28
VfL Osnabrück,1.5,26
Vegalta Sendai,1.481481481,27
Örebro SK,1.481481481,27
Adelaide United,1.48,25
Curicó Unido,1.428571429,28
Sarpsborg 08 FF,1.423076923,26
FK Haugesund,1.409090909,22
Wellington Phoenix,1.380952381,21
Korona Kielce,1.37037037,27
Hamilton Academical FC,1.357142857,28
SV Meppen,1.321428571,28
Cittadella,1.310344828,29
Tromsø IL,1.3,20
Stabæk Fotball,1.296296296,27
Lillestrøm SK,1.291666667,24
Atlético Bucaramanga,1.285714286,28
Deportes Iquique,1.285714286,28
AS Béziers,1.269230769,26
GIF Sundsvall,1.260869565,23
Kalmar FF,1.259259259,27
SC Preußen Münster,1.259259259,27
Club Deportes Temuco,1.25,28
FC Carl Zeiss Jena,1.25,28
Hokkaido Consadole Sapporo,1.24137931,29
Shonan Bellmare,1.233333333,30
Sangju Sangmu FC,1.214285714,28
SG Sonnenhof Großaspach,1.208333333,24
V-Varen Nagasaki,1.2,30
Miedź Legnica,1.185185185,27
IFK Göteborg,1.173913043,23
Kristiansund BK,1.166666667,24
Hallescher FC,1.16,25
FK Bodø/Glimt,1.148148148,27
La Equidad,1.142857143,28
Rionegro Águilas,1.142857143,28
Dundalk,1.130434783,23
SC Fortuna Köln,1.115384615,26
Atlético Huila,1.107142857,28
IK Start,1.083333333,24
Ranheim Fotball,1.083333333,24
Sandefjord Fotball,1.083333333,24
Waterford FC,1.08,25
Zagłębie Sosnowiec,1.08,25
Alianza Petrolera,1.071428571,28
Patriotas Boyacá FC,1.071428571,28
VfL Sportfreunde Lotte,1.071428571,28
Derry City,1.055555556,18
Dalkurd FF,1.047619048,21
VfR Aalen,1.041666667,24
FSV Zwickau,1.04,25
AEK Athens,1,28
Bohemian FC,1,25
Boyacá Chicó FC,1,28
Bray Wanderers,1,23
Cork City,1,25
Deportivo Pasto,1,28
Dinamo Zagreb,1,28
Dynamo Kyiv,1,28
Envigado FC,1,28
FC Energie Cottbus,1,28
HJK Helsinki,1,26
IF Brommapojkarna,1,26
IK Sirius,1,27
Itagüí Leones FC,1,28
Jaguares de Córdoba,1,28
Kaizer Chiefs,1,27
Limerick FC,1,19
Lokomotiv Moscow,1,28
Olympiacos CFP,1,28
Orlando Pirates,1,28
PAOK,1,27
PFC CSKA Moscow,1,28
Panathinaikos FC,1,28
SK Slavia Praha,1,28
Shakhtar Donetsk,1,28
Shamrock Rovers,1,22
Sligo Rovers,1,19
Sparta Praha,1,28
Spartak Moscow,1,27
St. Patrick's Athletic,1,23
Trelleborgs FF,1,27
Viktoria Plzeň,1,24
No Club,0,241
